data extract finished>>>begin EM algorithm>>>2018-04-30 09:28:38,819 INFO    : data extract finished>>>begin EM algorithm>>>
2018-05-06 13:49:42,593 INFO    : =================================================================================================
2018-05-06 13:49:42,593 INFO    : =================================================================================================
2018-05-06 13:49:42,597 INFO    : =================================================================================================
2018-05-06 13:49:42,606 INFO    : =================================================================================================
2018-05-06 13:49:42,613 INFO    : =================================================================================================
2018-05-06 13:50:07,787 INFO    : =================================================================================================
2018-05-06 13:53:08,435 INFO    : =================================================================================================
2018-05-06 13:58:38,765 INFO    : =================================================================================================
2018-05-06 13:59:23,191 INFO    : =================================================================================================
2018-05-06 13:59:23,192 INFO    : =================================================================================================
2018-05-06 13:59:23,192 INFO    : =================================================================================================
2018-05-06 13:59:23,192 INFO    : =================================================================================================
2018-05-06 13:59:23,192 INFO    : =================================================================================================
2018-05-06 13:59:23,192 INFO    : =================================================================================================
2018-05-06 13:59:23,196 INFO    : =================================================================================================
2018-05-06 13:59:23,196 INFO    : =================================================================================================
2018-05-06 13:59:23,196 INFO    : =================================================================================================
2018-05-06 13:59:23,208 INFO    : =================================================================================================
2018-05-06 13:59:23,324 INFO    : =================================================================================================
2018-05-06 13:59:23,332 INFO    : =================================================================================================
2018-05-06 13:59:23,348 INFO    : =================================================================================================
2018-05-06 13:59:23,370 INFO    : =================================================================================================
2018-05-06 13:59:23,582 INFO    : =================================================================================================
2018-05-06 13:59:23,817 INFO    : =================================================================================================
2018-05-06 13:59:27,213 INFO    : =================================================================================================
2018-05-06 14:00:42,597 INFO    : =================================================================================================
2018-05-06 14:18:38,950 INFO    : =================================================================================================
2018-05-06 14:18:38,950 INFO    : =================================================================================================
2018-05-06 14:19:41,904 INFO    : =================================================================================================
2018-05-06 14:19:41,904 INFO    : =================================================================================================
2018-05-06 14:19:46,752 INFO    : =================================================================================================
2018-05-06 14:19:46,752 INFO    : =================================================================================================
2018-05-06 14:21:47,564 INFO    : =================================================================================================
2018-05-06 14:21:47,564 INFO    : =================================================================================================
2018-05-06 14:21:47,566 INFO    : =================================================================================================
2018-05-06 14:21:47,566 INFO    : =================================================================================================
2018-05-06 14:21:47,567 INFO    : =================================================================================================
2018-05-06 14:21:47,567 INFO    : =================================================================================================
2018-05-06 14:21:47,569 INFO    : =================================================================================================
2018-05-06 14:21:47,569 INFO    : =================================================================================================
2018-05-06 14:21:47,569 INFO    : =================================================================================================
2018-05-06 14:21:47,569 INFO    : =================================================================================================
2018-05-06 14:21:47,570 INFO    : =================================================================================================
2018-05-06 14:21:47,570 INFO    : =================================================================================================
